,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
76,102B,SBST,1,TRUNK,67999,67401,10-10,-,-,-,
77,103,SBST,1,TRUNK,66009,59009,10-13,10-14,11-15,16-16,
78,103,SBST,2,TRUNK,59009,66009,10-11,10-15,10-12,14-17,
79,105,SBST,1,TRUNK,66009,28009,09-11,07-13,12-14,11-14,
80,105,SBST,2,TRUNK,28009,66009,07-15,08-15,10-14,11-15,
81,105B,SBST,1,TRUNK,28009,17179,14-14,-,-,-,
82,107,SBST,1,TRUNK,64009,03239,07-10,10-17,11-16,18-18,
83,107,SBST,2,TRUNK,03239,64009,14-15,10-16,09-13,13-13,
84,107M,SBST,1,TRUNK,64009,64009,14-15,13-16,15-16,13-16,Raffles Blvd
85,109,SBST,1,TRUNK,66009,99009,09-14,10-15,15-19,11-18,
86,109,SBST,2,TRUNK,99009,66009,10-15,10-15,10-13,13-18,
87,109A,SBST,1,TRUNK,66009,64611,-,-,12-19,14-28,
88,10e,SBST,1,EXPRESS,85049,03217,10-14,-,-,-,
89,10e,SBST,2,EXPRESS,03222,85041,-,-,10-10,-,
90,11,SBST,1,TRUNK,80009,80009,15-17,15-19,15-19,15-25,Rhu Cross
91,111,SBST,1,TRUNK,11009,11009,09-11,11-13,10-11,10-14,Temasek Ave
92,112,SBST,1,TRUNK,64009,64009,11-15,11-16,12-15,14-18,Hougang St 92
93,112A,SBST,1,TRUNK,64009,63031,-,-,-,15-15,
94,113,SBST,1,TRUNK,64009,64009,12-14,11-16,15-16,11-15,Upp Paya Lebar Rd
95,113A,SBST,1,TRUNK,63039,63031,15-15,-,15-20,26-26,Upp Paya Lebar Rd
96,114,SBST,1,TRUNK,67601,67609,09-11,11-15,09-13,09-20,Buangkok Cres
97,114A,SBST,1,TRUNK,67601,66579,-,-,-,16-17,Buangkok Cres
98,115,SBST,1,TRUNK,63221,63221,15-15,15-19,15-19,15-15,Hougang Ave 3
99,116,SBST,1,TRUNK,64009,64009,09-11,09-13,09-10,09-14,S'goon Ctrl
100,116A,SBST,1,TRUNK,66439,66359,30-31,-,-,-,
101,117,SBST,1,TRUNK,65009,58009,13-13,11-15,-,14-15,
102,117,SBST,2,TRUNK,58009,65009,11-11,09-15,-,12-15,
103,117A,SBST,1,TRUNK,59779,59041,15-36,-,-,-,
104,117M,SBST,1,TRUNK,65009,58009,13-14,-,10-12,-,
105,117M,SBST,2,TRUNK,58009,65009,11-15,-,10-11,-,
106,120,SBST,1,TRUNK,10499,10499,13-15,14-16,15-15,15-18,Telok Blangah Hts
107,121,SBST,1,TRUNK,03239,03239,04-09,07-12,07-07,10-13,Telok Blangah Rise
108,122,SBST,1,TRUNK,10499,10499,13-15,13-17,14-20,20-25,C'wealth Dr
109,123,SBST,1,TRUNK,10009,14539,11-14,13-16,14-14,14-18,
110,123,SBST,2,TRUNK,14539,10009,12-12,12-15,14-15,15-17,
111,123M,SBST,1,TRUNK,14009,14009,11-11,11-15,10-11,13-14,Tiong Bahru Rd
112,124,SBST,1,TRUNK,52499,14009,07-09,08-13,07-12,10-13,
113,124,SBST,2,TRUNK,14009,52499,07-08,08-13,08-09,08-13,
114,125,SBST,1,TRUNK,52499,52499,11-12,10-18,10-16,15-18,Sims Dr
115,125A,SBST,1,TRUNK,81081,60219,09-12,-,-,-,
116,127,SBST,1,TRUNK,75009,75009,10-10,15-20,10-15,10-24,Tampines Ind Ave 5
117,127A,SBST,1,TRUNK,75009,75519,-,-,-,20-20,
118,129,SBST,1,TRUNK,74009,52499,12-12,12-16,12-15,15-23,
119,129,SBST,2,TRUNK,52499,74009,12-12,12-16,12-12,12-25,
120,129A,SBST,1,TRUNK,75229,62071,18-49,-,22-42,-,
121,129B,SBST,1,TRUNK,62099,75221,19-19,19-19,23-45,-,
122,13,SBST,1,TRUNK,55509,94009,09-10,08-14,12-13,13-17,
123,13,SBST,2,TRUNK,94009,55509,10-13,09-13,08-10,11-18,
124,130,SBST,1,TRUNK,54009,03239,08-10,10-15,11-16,15-17,
125,130,SBST,2,TRUNK,03239,54009,13-14,11-15,11-11,14-15,
126,131,SBST,1,TRUNK,52499,10009,06-11,09-14,09-12,11-14,
127,131,SBST,2,TRUNK,10009,52499,08-11,09-14,09-16,11-16,
128,131A,SBST,1,TRUNK,52499,03217,14-18,-,-,-,
129,132,SBST,1,TRUNK,64009,10009,11-16,12-19,14-18,14-19,
130,132,SBST,2,TRUNK,10009,64009,13-14,11-19,14-15,15-16,
131,133,SBST,1,TRUNK,54009,03239,08-09,08-14,08-12,11-13,
132,133,SBST,2,TRUNK,03239,54009,10-12,08-13,08-11,10-13,
133,134,SBST,1,TRUNK,80289,80289,10-10,11-13,11-13,11-12,Marine Terr
134,135,SBST,1,TRUNK,54009,83321,10-12,10-12,11-11,13-16,
135,135,SBST,2,TRUNK,83321,54009,09-12,10-12,11-12,12-15,
136,137,SBST,1,TRUNK,80289,94009,13-14,14-17,11-14,14-17,
137,137,SBST,2,TRUNK,94009,80289,12-13,11-17,10-17,15-17,
138,137A,SBST,1,TRUNK,84031,84451,15-18,-,-,-,
139,138,SBST,1,TRUNK,54009,54009,12-13,09-15,09-14,12-13,Mandai Lake Rd
140,138A,SBST,1,TRUNK,54009,48131,-,13-14,-,-,Mandai Lake Rd
141,138B,SBST,1,TRUNK,54009,55121,-,-,12-12,04-13,
142,139,SBST,1,TRUNK,52009,10009,09-10,13-15,10-12,14-17,
143,139,SBST,2,TRUNK,10009,52009,09-12,09-15,08-14,13-17,
144,139A,SBST,1,TRUNK,52009,52109,-,-,-,27-27,
145,13A,SBST,1,TRUNK,54019,53231,07-21,12-17,-,-,
146,14,SBST,1,TRUNK,84009,17009,10-11,10-16,14-15,14-25,
147,14,SBST,2,TRUNK,17009,84009,13-14,10-15,11-16,16-17,
148,140,SBST,1,TRUNK,80009,80009,14-14,14-15,15-15,14-15,St. Wilfred Rd
149,141,SBST,1,TRUNK,80009,52009,12-14,14-16,15-15,13-23,
150,141,SBST,2,TRUNK,52009,80009,12-12,11-16,11-16,15-25,
151,142,SBST,1,TRUNK,52009,52009,08-09,09-13,08-08,08-16,Potong Pasir Ave 1
152,142A,SBST,1,TRUNK,52009,60209,-,-,-,-,Potong Pasir Ave 1
153,145,SBST,1,TRUNK,52009,11379,07-08,07-15,09-10,13-14,
154,145,SBST,2,TRUNK,11379,52009,08-09,07-12,06-09,08-13,
155,145A,SBST,1,TRUNK,10209,14249,08-26,09-24,-,-,
156,146,SBST,1,TRUNK,62061,62069,12-12,15-15,12-15,12-15,Bidadari Pk Dr
157,147,SBST,1,TRUNK,64009,17009,08-10,10-13,10-12,09-12,
158,147,SBST,2,TRUNK,17009,64009,09-10,09-13,10-12,09-12,
159,147A,SBST,1,TRUNK,64009,05019,18-20,18-52,-,-,
160,14A,SBST,1,TRUNK,84009,09059,18-18,14-24,-,-,
161,14e,SBST,1,EXPRESS,84211,09048,12-13,-,-,-,
162,14e,SBST,2,EXPRESS,09048,84219,-,-,12-12,-,
163,150,SBST,1,TRUNK,82009,82009,12-12,14-15,11-15,12-24,Marine Terr
164,151,SBST,1,TRUNK,64009,16009,06-12,05-16,08-10,14-17,
165,151,SBST,2,TRUNK,16009,64009,07-13,06-17,07-09,09-20,
