,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
335,51,SBST,2,TRUNK,28009,64009,11-15,08-15,09-17,14-17,
336,513,SBST,1,EXPRESS,75129,03218,12-13,-,-,-,
337,513,SBST,2,EXPRESS,03222,75121,-,-,15-15,-,
338,51A,SBST,1,TRUNK,28009,20191,-,-,-,17-17,
339,52,SBST,1,TRUNK,53009,28009,11-13,12-15,11-15,13-16,
340,52,SBST,2,TRUNK,28009,53009,11-17,09-17,11-20,14-20,
341,53,SBST,1,TRUNK,53009,53009,08-10,06-11,08-12,09-12,PTB2 Basement
342,53A,SBST,1,TRUNK,77289,95129,50-50,-,-,-,PTB2 Basement
343,53M,SBST,1,TRUNK,63261,63269,03-13,05-22,04-21,05-21,S'goon Ctrl
344,54,SBST,1,TRUNK,53009,10499,11-12,12-15,13-14,13-18,
345,54,SBST,2,TRUNK,10499,53009,14-18,10-15,10-19,12-21,
346,55,SBST,1,TRUNK,53009,94009,08-10,09-16,12-16,13-17,
347,55,SBST,2,TRUNK,94009,53009,08-11,10-15,08-11,14-18,
348,55B,SBST,1,TRUNK,53009,54381,-,35-35,43-44,14-15,
349,56,SBST,1,TRUNK,53009,02089,10-12,11-17,14-15,17-25,
350,56,SBST,2,TRUNK,02101,53009,13-14,11-17,14-15,15-24,
351,57,SBST,1,TRUNK,53009,10009,08-12,09-15,12-16,13-16,
352,57,SBST,2,TRUNK,10009,53009,11-13,11-14,10-14,14-15,
353,58,SBST,1,TRUNK,53009,77009,08-12,09-18,10-16,17-18,
354,58,SBST,2,TRUNK,77009,53009,08-10,07-18,07-14,14-17,
355,58A,SBST,1,TRUNK,62131,75351,-,-,-,-,
356,58B,SBST,1,TRUNK,77009,70281,-,-,-,-,
357,59,SBST,1,TRUNK,53009,99009,09-12,11-17,13-15,15-17,
358,59,SBST,2,TRUNK,99009,53009,08-13,10-17,08-19,15-18,
359,5A,SBST,1,TRUNK,98319,96049,24-28,-,-,-,
360,5B,SBST,1,TRUNK,96169,98311,-,-,44-44,-,
361,60,SBST,1,TRUNK,82009,82009,06-09,08-11,09-11,07-13,Bedok Nth Dr
362,60A,SBST,1,TRUNK,82009,84511,-,-,10-11,11-35,
363,60T,SBST,1,TRUNK,82009,84009,-,-,-,16-17,
364,63,SBST,1,TRUNK,82009,82009,07-09,08-16,09-14,09-14,Jln Rumah Tinggi
365,63A,SBST,1,TRUNK,82009,10599,-,-,-,12-12,Jln Rumah Tinggi
366,63M,SBST,1,TRUNK,82009,82009,08-14,13-18,14-16,14-24,Circuit Rd
367,64,SBST,1,TRUNK,80289,80289,12-14,11-17,15-15,11-16,Mei Ling St
368,65,SBST,1,TRUNK,75009,14009,09-09,09-12,10-11,10-11,
369,65,SBST,2,TRUNK,14009,75009,08-11,08-12,12-12,09-13,
370,652,SBST,1,CITY_LINK,56021,03218,08-09,-,-,-,
371,652,SBST,2,CITY_LINK,03241,56029,-,-,15-15,-,
372,654,SBST,1,CITY_LINK,67319,03218,05-05,-,-,-,
373,654,SBST,2,CITY_LINK,03241,67311,-,-,07-08,-,
374,655,SBST,1,CITY_LINK,20129,03391,10-10,-,-,-,
375,655,SBST,2,CITY_LINK,03539,20121,-,-,15-15,-,
376,660,SBST,1,CITY_LINK,66481,03218,05-06,-,-,-,
377,660,SBST,2,CITY_LINK,03241,66489,-,-,15-15,-,
378,667,SBST,1,CITY_LINK,17201,03391,15-15,-,-,-,
379,667,SBST,2,CITY_LINK,03539,17201,-,-,15-15,-,
380,668,SBST,1,CITY_LINK,54469,03391,06-07,-,-,-,
381,668,SBST,2,CITY_LINK,03539,54461,-,-,15-15,-,
382,671,SBST,1,CITY_LINK,65011,03391,20-20,-,-,-,
383,671,SBST,2,CITY_LINK,03539,65019,-,-,15-15,-,
384,672,SBST,1,CITY_LINK,64431,03391,15-15,-,-,-,
385,672,SBST,2,CITY_LINK,03539,64561,-,-,15-15,-,
386,69,SBST,1,TRUNK,75009,75009,06-07,05-12,06-08,09-25,Bedok Nth Dr
387,7,SBST,1,TRUNK,84009,17009,10-11,02-13,10-14,08-13,
388,7,SBST,2,TRUNK,17009,84009,09-12,08-12,07-12,10-13,
389,70,SBST,1,TRUNK,55509,03239,06-07,07-15,06-07,-,
390,70,SBST,2,TRUNK,03239,55509,08-12,07-14,07-09,08-10,
391,70A,SBST,1,TRUNK,55509,02171,-,-,-,15-15,Temasek Ave
392,70B,SBST,1,TRUNK,55101,66359,18-27,-,-,-,
393,70M,SBST,1,TRUNK,55509,55509,13-14,13-15,13-15,13-15,Temasek Ave
394,71,SBST,1,TRUNK,55509,55509,12-12,15-15,12-15,12-15,Bishan St 11
395,72,SBST,1,TRUNK,55509,75009,05-08,05-10,04-06,07-14,
396,72,SBST,2,TRUNK,75009,55509,05-08,03-10,04-07,04-13,
397,72A,SBST,1,TRUNK,55509,64549,10-57,48-48,-,-,
398,72B,SBST,1,TRUNK,55509,54481,01-04,01-04,-,-,
399,73,SBST,1,TRUNK,54009,54009,10-12,09-12,09-11,10-12,Lor 6 Toa Payoh
400,73T,SBST,1,TRUNK,54009,52009,-,-,-,10-10,Lor 6 Toa Payoh
401,74,SBST,1,TRUNK,64009,11379,05-12,05-13,05-11,10-12,
402,74,SBST,2,TRUNK,11379,64009,06-13,05-13,09-13,09-13,
403,76,SBST,1,TRUNK,55509,82009,10-11,11-14,10-14,14-15,
404,76,SBST,2,TRUNK,82009,55509,10-11,10-14,10-11,09-15,
405,7A,SBST,1,TRUNK,84009,09022,-,-,-,-,
406,7B,SBST,1,TRUNK,17009,08057,-,-,-,-,
407,8,SBST,1,TRUNK,75009,52009,06-08,05-15,08-12,12-18,
408,8,SBST,2,TRUNK,52009,75009,05-07,06-15,07-09,08-18,
409,80,SBST,1,TRUNK,67009,14009,09-14,10-16,13-15,18-19,
410,80,SBST,2,TRUNK,14009,67009,09-13,10-18,14-18,16-18,
411,800,SBST,1,FEEDER,59009,59009,06-08,06-08,06-08,07-09,Sembawang Rd
412,803,SBST,1,FEEDER,59009,59009,06-08,05-08,05-08,04-09,Yishun Ave 6
413,804,SBST,1,FEEDER,59009,59009,05-07,04-06,04-06,05-09,Yishun Ave 11
414,805,SBST,1,FEEDER,59009,59009,06-06,07-09,06-08,06-10,Yishun Ave 1
415,806,SBST,1,FEEDER,59009,59009,03-04,04-06,03-05,03-11,Yishun Ave 6
416,807,SBST,1,FEEDER,59009,59009,03-06,03-07,03-05,04-13,Yishun Ave 5
417,807A,SBST,1,FEEDER,59009,59569,05-12,04-06,-,-,
418,807B,SBST,1,FEEDER,59009,59309,05-06,-,-,-,
419,80A,SBST,1,TRUNK,67009,81089,09-34,12-24,-,-,
420,81,SBST,1,TRUNK,75009,75009,10-11,08-11,08-15,13-17,S'goon Ctrl
421,811,SBST,1,FEEDER,59009,59009,04-06,04-06,04-07,05-07,Yishun Ave 5
422,811A,SBST,1,FEEDER,59009,59159,-,-,04-32,-,Sembawang Rd
423,811T,SBST,1,FEEDER,59009,59009,-,-,-,07-08,Yishun Ave 5
424,812,SBST,1,FEEDER,59009,59009,05-08,05-08,06-09,05-12,Yishun Ave 4
425,812T,SBST,1,FEEDER,59009,59009,-,-,-,10-10,Yishun Ave 4
426,850E,SBST,1,EXPRESS,59581,03218,05-08,-,-,-,
427,850E,SBST,2,EXPRESS,03222,59579,-,-,15-15,-,
428,851,SBST,1,TRUNK,59009,10009,07-09,07-12,07-13,12-13,
429,851,SBST,2,TRUNK,10009,59009,08-10,09-12,08-10,07-13,
430,851e,SBST,1,EXPRESS,59009,05019,30-30,30-30,-,-,
431,851e,SBST,2,EXPRESS,05012,59009,-,30-30,30-30,30-30,
432,852,SBST,1,TRUNK,59009,43009,11-15,13-15,14-15,14-15,
433,852,SBST,2,TRUNK,43009,59009,11-14,11-15,12-15,14-15,
434,86,SBST,1,TRUNK,67009,54009,07-10,10-13,09-12,11-23,
435,86,SBST,2,TRUNK,54009,67009,10-14,09-13,10-13,10-25,
436,860,SBST,1,TRUNK,55509,55509,10-14,12-15,09-12,10-18,Yishun Ave 2
437,860T,SBST,1,TRUNK,55509,59009,-,-,-,12-13,Yishun Ave 2
438,86A,SBST,1,TRUNK,68119,55189,08-35,-,-,-,
439,86B,SBST,1,TRUNK,55181,68111,-,-,11-32,-,
440,87,SBST,1,TRUNK,67009,84009,05-07,04-16,05-08,05-17,
441,87,SBST,2,TRUNK,84009,67009,05-07,05-13,04-13,15-18,
442,88,SBST,1,TRUNK,77009,52009,06-09,06-12,06-10,09-12,
443,88,SBST,2,TRUNK,52009,77009,08-10,06-14,07-12,10-12,
444,88A,SBST,1,TRUNK,65069,54269,06-06,-,-,-,
445,88B,SBST,1,TRUNK,54261,66471,09-35,-,-,-,
446,89,SBST,1,TRUNK,64009,64009,07-10,06-14,06-16,17-19,Airport Cargo Rd
447,89A,SBST,1,TRUNK,65199,95039,08-08,-,-,-,Airport Cargo Rd
448,89e,SBST,1,EXPRESS,64009,95049,06-08,-,-,-,
449,89e,SBST,2,EXPRESS,95051,64009,-,-,10-12,-,
450,9,SBST,1,TRUNK,84009,84009,05-09,05-12,07-16,15-18,Airport Cargo Rd
451,90,SBST,1,TRUNK,52009,52009,11-12,07-17,07-11,17-21,Airport Rd
452,90A,SBST,1,TRUNK,52009,71189,12-46,17-17,-,-,Airport Rd
453,91,SBST,1,TRUNK,11379,11379,08-15,08-19,10-12,10-11,Ayer Rajah Cres
454,92,SBST,1,TRUNK,11009,11009,06-08,07-15,06-08,07-12,
455,92A,SBST,1,TRUNK,11369,18281,-,-,-,17-17,
456,93,SBST,1,TRUNK,14009,82009,12-13,12-16,13-14,15-23,
457,93,SBST,2,TRUNK,82009,14009,10-13,13-17,14-15,14-24,
458,94,SBST,1,TRUNK,82009,82009,09-11,08-18,08-08,13-13,Airport Rd
459,94A,SBST,1,TRUNK,82009,73019,10-11,-,-,-,Airport Rd
460,95,SBST,1,TRUNK,16009,16009,08-10,08-12,09-11,12-25,Holland Rd
461,95B,SBST,1,TRUNK,16009,11361,-,-,21-43,-,
462,99,SBST,1,TRUNK,17009,24009,07-08,06-10,07-08,09-11,
463,99,SBST,2,TRUNK,24009,17009,06-08,05-10,07-08,11-15,
464,993,SBST,1,TRUNK,28009,28009,15-15,20-20,15-20,15-20,Bt Batok West Ave 8
465,9A,SBST,1,TRUNK,84009,98011,-,-,-,48-48,
466,9B,SBST,1,TRUNK,96169,95051,35-35,-,-,-,
467,110,SMRT,1,TRUNK,67759,67759,09-10,10-13,11-12,12,PTB2 Basement
468,172,SMRT,1,TRUNK,44009,22009,06-07,05-13,06-09,09-12,
469,172,SMRT,2,TRUNK,22009,44009,06-07,05-13,07-09,10-13,
470,176,SMRT,1,TRUNK,45009,10009,07-09,06-14,08-11,12-15,
471,176,SMRT,2,TRUNK,10009,45009,08-09,07-14,06-09,08-14,
472,178,SMRT,1,TRUNK,46009,22009,07-15,11-15,13-14,14-18,
473,178,SMRT,2,TRUNK,22009,46009,13-14,13-15,14-15,15-17,
474,178A,SMRT,1,TRUNK,46009,45139,14-42,-,-,-,
475,179,SMRT,1,TRUNK,22009,22009,04-08,02-06,04-06,05-07,Nanyang Dr
476,179A,SMRT,1,TRUNK,22009,22009,02-07,04-07,-,-,Nanyang Dr
477,180,SMRT,1,TRUNK,22009,22009,04-09,08-13,05-11,10-12,Bt Panjang Rd
478,180A,SMRT,1,TRUNK,22009,44259,-,-,24-52,10,
479,181,SMRT,1,TRUNK,22009,22009,06-07,06-10,07-08,07-10,Jurong West Ave 3
480,181M,SMRT,1,TRUNK,22009,22009,06-07,-,-,-,Jurong West St 23
481,182,SMRT,1,TRUNK,24009,24009,07-10,08-17,-,17-22,Tuas Sth Ave 9
482,182M,SMRT,1,TRUNK,24009,24009,-,07-18,08-11,11-21,Tuas Sth Ave 9
483,184,SMRT,1,TRUNK,44989,44989,06-08,06-09,06-09,07-11,C'wealth Ave West
484,185,SMRT,1,TRUNK,22609,11379,09-15,09-17,11-14,13-14,
485,185,SMRT,2,TRUNK,11379,22609,09-14,09-15,09-18,13-17,
486,187,SMRT,1,TRUNK,46009,22009,07-09,05-11,07-13,09-13,
487,187,SMRT,2,TRUNK,22009,46009,06-08,06-10,06-09,07-13,
488,188,SMRT,1,TRUNK,44009,14009,05-10,07-16,07-13,13-14,
489,188,SMRT,2,TRUNK,14009,44009,09-14,07-16,07-08,08-14,
490,188e,SMRT,1,EXPRESS,44009,14009,15,-,-,-,
491,190,SMRT,1,TRUNK,44009,10499,02-05,04-07,06-07,07-11,
492,190,SMRT,2,TRUNK,10499,44009,08-11,04-07,04-06,05-08,
493,190A,SMRT,1,TRUNK,44009,08057,04-24,-,-,-,
494,192,SMRT,1,TRUNK,22009,25009,06-09,08-14,07-10,08-23,
495,192,SMRT,2,TRUNK,25009,22009,08-09,07-14,06-09,09-23,
496,193,SMRT,1,TRUNK,22009,25009,14-16,12-18,18-19,16-25,
497,193,SMRT,2,TRUNK,25009,22009,14-15,12-18,18-19,16-24,
498,194,SMRT,1,TRUNK,22009,22009,09-10,09-13,09-16,15-23,Jln Ahmad Ibrahim
499,199,SMRT,1,TRUNK,22009,22009,04-10,04-16,07-10,10-15,Nanyang Cres
